header	segment	source	accession	strain	subtype	date	host_species	host	colourName
blasthit|EPI_ISL_142337|A/ruddy_turnstone/New_Jersey/AI06-179/2006|A_/_H7N3|2006-05-17	seg7	blasthit	EPI_ISL_142337	A/ruddy_turnstone/New_Jersey/AI06-179/2006	H7N3	2006-05-17	ruddy_turnstone	charadriiformes	red1
blasthit|EPI_ISL_137894|A/mallard/Alberta/166/2006|A_/_H1N1|2006-08-04	seg7	blasthit	EPI_ISL_137894	A/mallard/Alberta/166/2006	H1N1	2006-08-04	mallard	anseriformes	red2
blasthit|EPI_ISL_80888|A/environment/New_York/483238/2007|A_/_H5N2|2007-07-02	seg7	blasthit	EPI_ISL_80888	A/environment/New_York/483238/2007	H5N2	2007-07-02	environment	other/unknown avian	gray
blasthit|EPI_ISL_79803|A/wild_bird/Minnesota/460613-12/2006|A_/_H5N2|2006-07-02	seg7	blasthit	EPI_ISL_79803	A/wild_bird/Minnesota/460613-12/2006	H5N2	2006-07-02	wild_bird	other/unknown avian	gray
blasthit|EPI_ISL_75694|A/blue-winged_teal/Texas/Sg-00076/2007|A_/_H4N6|2007-09-16	seg7	blasthit	EPI_ISL_75694	A/blue-winged_teal/Texas/Sg-00076/2007	H4N6	2007-09-16	blue-winged_teal	anseriformes	red2
blasthit|EPI_ISL_64436|A/ruddy_turnstone/New_Jersey/577/2006|A_/_H7N3|2006-07-02	seg7	blasthit	EPI_ISL_64436	A/ruddy_turnstone/New_Jersey/577/2006	H7N3	2006-07-02	ruddy_turnstone	charadriiformes	red1
blasthit|EPI_ISL_64432|A/ruddy_turnstone/New_Jersey/564/2006|A_/_H7N3|2006-07-02	seg7	blasthit	EPI_ISL_64432	A/ruddy_turnstone/New_Jersey/564/2006	H7N3	2006-07-02	ruddy_turnstone	charadriiformes	red1
blasthit|EPI_ISL_64423|A/ruddy_turnstone/New_Jersey/199/2006|A_/_H7N3|2006-07-02	seg7	blasthit	EPI_ISL_64423	A/ruddy_turnstone/New_Jersey/199/2006	H7N3	2006-07-02	ruddy_turnstone	charadriiformes	red1
query|EPI_ISL_123259|A/harbor_seal/Massachusetts/1/2011|A_/_H3N8|2011-09-29	seg8	query	EPI_ISL_123259	A/harbor_seal/Massachusetts/1/2011	H3N8	2011-09-29	harbor_seal	seal	blue2
blasthit|EPI_ISL_75718|A/mallard/Minnesota/Sg-00063/2007|A_/_H4N6|2007-08-03	seg8	blasthit	EPI_ISL_75718	A/mallard/Minnesota/Sg-00063/2007	H4N6	2007-08-03	mallard	anseriformes	red2
blasthit|EPI_ISL_75713|A/mallard/Minnesota/Sg-00058/2007|A_/_H4N6|2007-08-03	seg8	blasthit	EPI_ISL_75713	A/mallard/Minnesota/Sg-00058/2007	H4N6	2007-08-03	mallard	anseriformes	red2
blasthit|EPI_ISL_75708|A/mallard/Minnesota/Sg-00052/2007|A_/_H4N6|2007-08-03	seg8	blasthit	EPI_ISL_75708	A/mallard/Minnesota/Sg-00052/2007	H4N6	2007-08-03	mallard	anseriformes	red2
blasthit|EPI_ISL_75677|A/blue-winged_teal/Minnesota/Sg-00028/2007|A_/_H4N6|2007-08-02	seg8	blasthit	EPI_ISL_75677	A/blue-winged_teal/Minnesota/Sg-00028/2007	H4N6	2007-08-02	blue-winged_teal	anseriformes	red2
blasthit|EPI_ISL_30030|A/northern_shoveler/California/HKWF392sm/2007|A_/_H10N7|2007-11-03	seg8	blasthit	EPI_ISL_30030	A/northern_shoveler/California/HKWF392sm/2007	H10N7	2007-11-03	northern_shoveler	anseriformes	red2
blasthit|EPI_ISL_144546|A/mallard/Minnesota/AI09-2749/2009|A_/_H6N8|2009-09-04	seg8	blasthit	EPI_ISL_144546	A/mallard/Minnesota/AI09-2749/2009	H6N8	2009-09-04	mallard	anseriformes	red2
blasthit|EPI_ISL_257150|A/blue-winged_teal/Guatemala/CIP049H105-31/2011|A_/_H14N3|2011-12-08	seg8	blasthit	EPI_ISL_257150	A/blue-winged_teal/Guatemala/CIP049H105-31/2011	H14N3	2011-12-08	blue-winged_teal	anseriformes	red2
blasthit|EPI_ISL_94973|A/blue-winged_teal/Guatemala/CIP049-07/2010|A_/_H8N4|2010-01-31	seg8	blasthit	EPI_ISL_94973	A/blue-winged_teal/Guatemala/CIP049-07/2010	H8N4	2010-01-31	blue-winged_teal	anseriformes	red2
blasthit|EPI_ISL_75715|A/mallard/Minnesota/Sg-00060/2007|A_/_H4N6|2007-08-03	seg8	blasthit	EPI_ISL_75715	A/mallard/Minnesota/Sg-00060/2007	H4N6	2007-08-03	mallard	anseriformes	red2
blasthit|EPI_ISL_75706|A/mallard/Minnesota/Sg-00050/2007|A_/_H4N6|2007-08-03	seg8	blasthit	EPI_ISL_75706	A/mallard/Minnesota/Sg-00050/2007	H4N6	2007-08-03	mallard	anseriformes	red2
blasthit|EPI_ISL_75700|A/gadwall/Minnesota/Sg-00044/2007|A_/_H3N8|2007-08-03	seg8	blasthit	EPI_ISL_75700	A/gadwall/Minnesota/Sg-00044/2007	H3N8	2007-08-03	gadwall	anseriformes	red2
blasthit|EPI_ISL_75687|A/blue-winged_teal/Minnesota/Sg-00038/2007|A_/_H4N6|2007-08-03	seg8	blasthit	EPI_ISL_75687	A/blue-winged_teal/Minnesota/Sg-00038/2007	H4N6	2007-08-03	blue-winged_teal	anseriformes	red2
blasthit|EPI_ISL_75685|A/blue-winged_teal/Minnesota/Sg-00036/2007|A_/_H4N6|2007-08-03	seg8	blasthit	EPI_ISL_75685	A/blue-winged_teal/Minnesota/Sg-00036/2007	H4N6	2007-08-03	blue-winged_teal	anseriformes	red2
blasthit|EPI_ISL_75683|A/blue-winged_teal/Minnesota/Sg-00034/2007|A_/_H4N6|2007-08-03	seg8	blasthit	EPI_ISL_75683	A/blue-winged_teal/Minnesota/Sg-00034/2007	H4N6	2007-08-03	blue-winged_teal	anseriformes	red2
blasthit|EPI_ISL_75682|A/blue-winged_teal/Minnesota/Sg-00033/2007|A_/_H4N6|2007-08-03	seg8	blasthit	EPI_ISL_75682	A/blue-winged_teal/Minnesota/Sg-00033/2007	H4N6	2007-08-03	blue-winged_teal	anseriformes	red2
blasthit|EPI_ISL_75681|A/blue-winged_teal/Minnesota/Sg-00032/2007|A_/_H4N6|2007-08-03	seg8	blasthit	EPI_ISL_75681	A/blue-winged_teal/Minnesota/Sg-00032/2007	H4N6	2007-08-03	blue-winged_teal	anseriformes	red2
blasthit|EPI_ISL_75679|A/blue-winged_teal/Minnesota/Sg-00030/2007|A_/_H4N6|2007-08-03	seg8	blasthit	EPI_ISL_75679	A/blue-winged_teal/Minnesota/Sg-00030/2007	H4N6	2007-08-03	blue-winged_teal	anseriformes	red2
blasthit|EPI_ISL_30026|A/northern_shoveler/California/HKWF96/2007|A_/_H10N7|2007-10-24	seg8	blasthit	EPI_ISL_30026	A/northern_shoveler/California/HKWF96/2007	H10N7	2007-10-24	northern_shoveler	anseriformes	red2
blasthit|EPI_ISL_144545|A/mallard/Minnesota/AI09-1714/2009|A_/_H7N1|2009-07-26	seg8	blasthit	EPI_ISL_144545	A/mallard/Minnesota/AI09-1714/2009	H7N1	2009-07-26	mallard	anseriformes	red2
blasthit|EPI_ISL_379038|A/blue-winged_teal/Guatemala/CIP049-H116-07/2013|A_/_H5N3|2013-07-02	seg8	blasthit	EPI_ISL_379038	A/blue-winged_teal/Guatemala/CIP049-H116-07/2013	H5N3	2013-07-02	blue-winged_teal	anseriformes	red2
blasthit|EPI_ISL_257117|A/blue-winged_teal/Guatemala/CIP049H103-20/2011|A_/_H3N2|2011-11-25	seg8	blasthit	EPI_ISL_257117	A/blue-winged_teal/Guatemala/CIP049H103-20/2011	H3N2	2011-11-25	blue-winged_teal	anseriformes	red2
blasthit|EPI_ISL_177509|A/redhead/Ohio/13OS0376/2013|A_/_H4N6|2013-02-15	seg8	blasthit	EPI_ISL_177509	A/redhead/Ohio/13OS0376/2013	H4N6	2013-02-15	redhead	anseriformes	red2
blasthit|EPI_ISL_161073|A/blue-winged_teal/Iowa/13OS2359/2013|A_/_H4N6|2013-09-21	seg8	blasthit	EPI_ISL_161073	A/blue-winged_teal/Iowa/13OS2359/2013	H4N6	2013-09-21	blue-winged_teal	anseriformes	red2
blasthit|EPI_ISL_161095|A/blue-winged_teal/Ohio/13OS1831/2013|A_/_H3N2|2013-09-07	seg8	blasthit	EPI_ISL_161095	A/blue-winged_teal/Ohio/13OS1831/2013	H3N2	2013-09-07	blue-winged_teal	anseriformes	red2
blasthit|EPI_ISL_75692|A/blue-winged_teal/Minnesota/Sg-00043/2007|A_/_H4N6|2007-08-03	seg8	blasthit	EPI_ISL_75692	A/blue-winged_teal/Minnesota/Sg-00043/2007	H4N6	2007-08-03	blue-winged_teal	anseriformes	red2
blasthit|EPI_ISL_75689|A/blue-winged_teal/Minnesota/Sg-00040/2007|A_/_H4N6|2007-08-03	seg8	blasthit	EPI_ISL_75689	A/blue-winged_teal/Minnesota/Sg-00040/2007	H4N6	2007-08-03	blue-winged_teal	anseriformes	red2
blasthit|EPI_ISL_75688|A/blue-winged_teal/Minnesota/Sg-00039/2007|A_/_H4N6|2007-08-03	seg8	blasthit	EPI_ISL_75688	A/blue-winged_teal/Minnesota/Sg-00039/2007	H4N6	2007-08-03	blue-winged_teal	anseriformes	red2
blasthit|EPI_ISL_75678|A/blue-winged_teal/Minnesota/Sg-00029/2007|A_/_H4N6|2007-08-03	seg8	blasthit	EPI_ISL_75678	A/blue-winged_teal/Minnesota/Sg-00029/2007	H4N6	2007-08-03	blue-winged_teal	anseriformes	red2
blasthit|EPI_ISL_257125|A/blue-winged_teal/Guatemala/CIP049H105-05/2011|A_/_H5N3|2011-12-08	seg8	blasthit	EPI_ISL_257125	A/blue-winged_teal/Guatemala/CIP049H105-05/2011	H5N3	2011-12-08	blue-winged_teal	anseriformes	red2
blasthit|EPI_ISL_379232|A/slaty-backed_gull/Delaware_Bay/101/2014|A_/_H12N4|2014-05-19	seg8	blasthit	EPI_ISL_379232	A/slaty-backed_gull/Delaware_Bay/101/2014	H12N4	2014-05-19	slaty-backed_gull	charadriiformes	red1
blasthit|EPI_ISL_379083|A/blue-winged_teal/Guatemala/CIP049-H117-130/2013|A_/_H2N2|2013-07-02	seg8	blasthit	EPI_ISL_379083	A/blue-winged_teal/Guatemala/CIP049-H117-130/2013	H2N2	2013-07-02	blue-winged_teal	anseriformes	red2
blasthit|EPI_ISL_379082|A/blue-winged_teal/Guatemala/CIP049-H117-99/2013|A_/_H14N5|2013-07-02	seg8	blasthit	EPI_ISL_379082	A/blue-winged_teal/Guatemala/CIP049-H117-99/2013	H14N5	2013-07-02	blue-winged_teal	anseriformes	red2
blasthit|EPI_ISL_258577|A/blue-winged_teal/Lousiana/UGAI14-0595/2014|A_/_H11N9|2014-04-12	seg8	blasthit	EPI_ISL_258577	A/blue-winged_teal/Lousiana/UGAI14-0595/2014	H11N9	2014-04-12	blue-winged_teal	anseriformes	red2
blasthit|EPI_ISL_257147|A/blue-winged_teal/Guatemala/CIP049H105-01/2011|A_/_H1N3|2011-12-08	seg8	blasthit	EPI_ISL_257147	A/blue-winged_teal/Guatemala/CIP049H105-01/2011	H1N3	2011-12-08	blue-winged_teal	anseriformes	red2
blasthit|EPI_ISL_245465|A/blue-winged_teal/Guatemala/CIP049H102-19/2011|A|2011-11-11	seg8	blasthit	EPI_ISL_245465	A/blue-winged_teal/Guatemala/CIP049H102-19/2011	A	2011-11-11	blue-winged_teal	anseriformes	red2
blasthit|EPI_ISL_243742|A/blue-winged_teal/Guatemala/CIP049H102-25/2011|A_/_H3N2|2011-11-11	seg8	blasthit	EPI_ISL_243742	A/blue-winged_teal/Guatemala/CIP049H102-25/2011	H3N2	2011-11-11	blue-winged_teal	anseriformes	red2
blasthit|EPI_ISL_243734|A/blue-winged_teal/Guatemala/CIP049H111-98/2012|A_/_H2N3|2012-12-07	seg8	blasthit	EPI_ISL_243734	A/blue-winged_teal/Guatemala/CIP049H111-98/2012	H2N3	2012-12-07	blue-winged_teal	anseriformes	red2
blasthit|EPI_ISL_230161|A/blue-winged_teal/Texas/UGAI14-1210TX/2014|A_/_H7N7|2014-03-09	seg8	blasthit	EPI_ISL_230161	A/blue-winged_teal/Texas/UGAI14-1210TX/2014	H7N7	2014-03-09	blue-winged_teal	anseriformes	red2
blasthit|EPI_ISL_230159|A/blue-winged_teal/Louisiana/UGAI14-106/2014|A_/_H7N1|2014-03-29	seg8	blasthit	EPI_ISL_230159	A/blue-winged_teal/Louisiana/UGAI14-106/2014	H7N1	2014-03-29	blue-winged_teal	anseriformes	red2
blasthit|EPI_ISL_131756|A/American_black_duck/New_Brunswick/03552/2009|A_/_H4N6|2009-09-11	seg8	blasthit	EPI_ISL_131756	A/American_black_duck/New_Brunswick/03552/2009	H4N6	2009-09-11	American_black_duck	anseriformes	red2
blasthit|EPI_ISL_131754|A/American_black_duck/New_Brunswick/03511/2009|A_/_H4N6|2009-09-10	seg8	blasthit	EPI_ISL_131754	A/American_black_duck/New_Brunswick/03511/2009	H4N6	2009-09-10	American_black_duck	anseriformes	red2
blasthit|EPI_ISL_131753|A/American_black_duck/New_Brunswick/03553/2009|A_/_H4N6|2009-09-11	seg8	blasthit	EPI_ISL_131753	A/American_black_duck/New_Brunswick/03553/2009	H4N6	2009-09-11	American_black_duck	anseriformes	red2
blasthit|EPI_ISL_131708|A/American_black_duck/New_Brunswick/03556/2009|A_/_H4N6|2009-09-11	seg8	blasthit	EPI_ISL_131708	A/American_black_duck/New_Brunswick/03556/2009	H4N6	2009-09-11	American_black_duck	anseriformes	red2
blasthit|EPI_ISL_131702|A/American_black_duck/New_Brunswick/03551/2009|A_/_H4N6|2009-09-11	seg8	blasthit	EPI_ISL_131702	A/American_black_duck/New_Brunswick/03551/2009	H4N6	2009-09-11	American_black_duck	anseriformes	red2
blasthit|EPI_ISL_131697|A/American_black_duck/New_Brunswick/03559/2009|A_/_H4N6|2009-09-11	seg8	blasthit	EPI_ISL_131697	A/American_black_duck/New_Brunswick/03559/2009	H4N6	2009-09-11	American_black_duck	anseriformes	red2
blasthit|EPI_ISL_258578|A/blue-winged_teal/Lousiana/UGAI14-0690/2014|A_/_H1N1|2014-04-12	seg8	blasthit	EPI_ISL_258578	A/blue-winged_teal/Lousiana/UGAI14-0690/2014	H1N1	2014-04-12	blue-winged_teal	anseriformes	red2
blasthit|EPI_ISL_379078|A/blue-winged_teal/Guatemala/CIP049-H117-36/2013|A_/_H14N5|2013-07-02	seg8	blasthit	EPI_ISL_379078	A/blue-winged_teal/Guatemala/CIP049-H117-36/2013	H14N5	2013-07-02	blue-winged_teal	anseriformes	red2
blasthit|EPI_ISL_379027|A/blue-winged_teal/Guatemala/CIP049-H117-38/2013|A_/_H14N5|2013-07-02	seg8	blasthit	EPI_ISL_379027	A/blue-winged_teal/Guatemala/CIP049-H117-38/2013	H14N5	2013-07-02	blue-winged_teal	anseriformes	red2
blasthit|EPI_ISL_309171|A/mallard/Ohio/13OS1351/2013|A_/_H1N8|2013-08-01	seg8	blasthit	EPI_ISL_309171	A/mallard/Ohio/13OS1351/2013	H1N8	2013-08-01	mallard	anseriformes	red2
