header	segment	source	accession	strain	subtype	date	year	location	host	colourName
blasthit|EPI_ISL_158184|A/mallard/Sweden/79261/2008|A|2008-11-13	seg7	blasthit	EPI_ISL_158184	A/mallard/Sweden/79261/2008	A	13/11/2008	2008	Sweden	anseriformes	red2
blasthit|EPI_ISL_158219|A/mallard/Sweden/5714/2005|A_/_H4N6|2005-11-02	seg7	blasthit	EPI_ISL_158219	A/mallard/Sweden/5714/2005	H4N6	02/11/2005	2005	Sweden	anseriformes	red2
blasthit|EPI_ISL_158224|A/mallard/Sweden/5763/2005|A_/_H4N6|2005-11-04	seg7	blasthit	EPI_ISL_158224	A/mallard/Sweden/5763/2005	H4N6	04/11/2005	2005	Sweden	anseriformes	red2
blasthit|EPI_ISL_158220|A/mallard/Sweden/5724/2005|A_/_H4N2|2005-11-02	seg7	blasthit	EPI_ISL_158220	A/mallard/Sweden/5724/2005	H4N2	02/11/2005	2005	Sweden	anseriformes	red2
blasthit|EPI_ISL_158321|A/mallard/Sweden/79167/2008|A|2008-11-12	seg7	blasthit	EPI_ISL_158321	A/mallard/Sweden/79167/2008	A	12/11/2008	2008	Sweden	anseriformes	red2
blasthit|EPI_ISL_158327|A/mallard/Sweden/79328/2008|A_/_H4N6|2008-11-14	seg7	blasthit	EPI_ISL_158327	A/mallard/Sweden/79328/2008	H4N6	14/11/2008	2008	Sweden	anseriformes	red2
blasthit|EPI_ISL_158324|A/mallard/Sweden/79230/2008|A|2008-11-13	seg7	blasthit	EPI_ISL_158324	A/mallard/Sweden/79230/2008	A	13/11/2008	2008	Sweden	anseriformes	red2
blasthit|EPI_ISL_158333|A/mallard/Sweden/79372/2008|A_/_H4N2|2008-11-15	seg7	blasthit	EPI_ISL_158333	A/mallard/Sweden/79372/2008	H4N2	15/11/2008	2008	Sweden	anseriformes	red2
seal|A/grey_seal/England/027661/2017|H3N8|NS|2017-02	seg8	seal	noid	A/grey_seal/England/027661/2017	H3N8	2017-02	2017	England	seal	blue2
blasthit|EPI_ISL_243486|A/turnstone/Netherlands/1/2010|A_/_H3N8|2010-10-09	seg8	blasthit	EPI_ISL_243486	A/turnstone/Netherlands/1/2010	H3N8	09/10/2010	2010	Netherlands	charadriiformes	red1
blasthit|EPI_ISL_243531|A/barnacle_goose/Netherlands/1/2010|A_/_H6N8|2010-01-08	seg8	blasthit	EPI_ISL_243531	A/barnacle_goose/Netherlands/1/2010	H6N8	08/01/2010	2010	Netherlands	anseriformes	red2
blasthit|EPI_ISL_243490|A/greater_white-fronted_goose/Netherlands/11/2009|A_/_H6N1|2009-12-09	seg8	blasthit	EPI_ISL_243490	A/greater_white-fronted_goose/Netherlands/11/2009	H6N1	09/12/2009	2009	Netherlands	anseriformes	red2
blasthit|EPI_ISL_243385|A/greater_white-fronted_goose/Netherlands/5/2010|A_/_H5N3|2010-11-13	seg8	blasthit	EPI_ISL_243385	A/greater_white-fronted_goose/Netherlands/5/2010	H5N3	13/11/2010	2010	Netherlands	anseriformes	red2
blasthit|EPI_ISL_309814|A/Chicken/Netherlands/13016263-031-035/2013|A_/_H5N3|2013-12-10	seg8	blasthit	EPI_ISL_309814	A/Chicken/Netherlands/13016263-031-035/2013	H5N3	10/12/2013	2013	Netherlands	galliformes	red3
blasthit|EPI_ISL_309813|A/Chicken/Netherlands/13015884/2013|A_/_H5N3|2013-11-29	seg8	blasthit	EPI_ISL_309813	A/Chicken/Netherlands/13015884/2013	H5N3	29/11/2013	2013	Netherlands	galliformes	red3
blasthit|EPI_ISL_267166|A/mallard_duck/Netherlands/38/2008|A_/_H5N3|2008-10-08	seg8	blasthit	EPI_ISL_267166	A/mallard_duck/Netherlands/38/2008	H5N3	08/10/2008	2008	Netherlands	anseriformes	red2
blasthit|EPI_ISL_243609|A/barnacle_goose/Netherlands/1/2011|A_/_H6N8|2011-01-06	seg8	blasthit	EPI_ISL_243609	A/barnacle_goose/Netherlands/1/2011	H6N8	06/01/2011	2011	Netherlands	anseriformes	red2
blasthit|EPI_ISL_158341|A/mallard/Sweden/79978/2008|A_/_H4N6|2008-11-16	seg8	blasthit	EPI_ISL_158341	A/mallard/Sweden/79978/2008	H4N6	16/11/2008	2008	Sweden	anseriformes	red2
blasthit|EPI_ISL_291186|A/Common_Teal/Netherlands/12002960/2012|A_/_H8N4|2012-02-12	seg8	blasthit	EPI_ISL_291186	A/Common_Teal/Netherlands/12002960/2012	H8N4	12/02/2012	2012	Netherlands	anseriformes	red2
blasthit|EPI_ISL_267386|A/mallard_duck/Netherlands/34/2010|A_/_H3N2|2010-10-08	seg8	blasthit	EPI_ISL_267386	A/mallard_duck/Netherlands/34/2010	H3N2	08/10/2010	2010	Netherlands	anseriformes	red2
blasthit|EPI_ISL_243397|A/mallard_duck/Netherlands/27/2009|A_/_H4N6|2009-12-21	seg8	blasthit	EPI_ISL_243397	A/mallard_duck/Netherlands/27/2009	H4N6	21/12/2009	2009	Netherlands	anseriformes	red2
blasthit|EPI_ISL_158183|A/mallard/Sweden/52405/2006|A|2006-10-28	seg8	blasthit	EPI_ISL_158183	A/mallard/Sweden/52405/2006	A	28/10/2006	2006	Sweden	anseriformes	red2
blasthit|EPI_ISL_328963|A/mallard_duck/Netherlands/18/2015|A_/_H7N7|2015-06-27	seg8	blasthit	EPI_ISL_328963	A/mallard_duck/Netherlands/18/2015	H7N7	27/06/2015	2015	Netherlands	anseriformes	red2
blasthit|EPI_ISL_309804|A/Chicken/Netherlands/11004004/2011|A_/_H8N4|2011-03-09	seg8	blasthit	EPI_ISL_309804	A/Chicken/Netherlands/11004004/2011	H8N4	09/03/2011	2011	Netherlands	galliformes	red3
blasthit|EPI_ISL_291193|A/Mallard/Netherlands/09014545/2009|A_/_H4N6|2009-08-12	seg8	blasthit	EPI_ISL_291193	A/Mallard/Netherlands/09014545/2009	H4N6	12/08/2009	2009	Netherlands	anseriformes	red2
blasthit|EPI_ISL_291189|A/Swan/Netherlands/14000281/2014|A_/_H5N2|2014-01-08	seg8	blasthit	EPI_ISL_291189	A/Swan/Netherlands/14000281/2014	H5N2	08/01/2014	2014	Netherlands	anseriformes	red2
blasthit|EPI_ISL_267297|A/mallard_duck/Netherlands/16/2014|A_/_H2N9|2014-08-29	seg8	blasthit	EPI_ISL_267297	A/mallard_duck/Netherlands/16/2014	H2N9	29/08/2014	2014	Netherlands	anseriformes	red2
blasthit|EPI_ISL_267194|A/mallard_duck/Netherlands/14/2014|A_/_H2N9|2014-08-27	seg8	blasthit	EPI_ISL_267194	A/mallard_duck/Netherlands/14/2014	H2N9	27/08/2014	2014	Netherlands	anseriformes	red2
blasthit|EPI_ISL_243666|A/mallard_duck/Netherlands/26/2011|A_/_H11N9|2011-10-10	seg8	blasthit	EPI_ISL_243666	A/mallard_duck/Netherlands/26/2011	H11N9	10/10/2011	2011	Netherlands	anseriformes	red2
blasthit|EPI_ISL_243513|A/Eurasian_teal/Netherlands/1/2011|A_/_H3N8|2011-10-15	seg8	blasthit	EPI_ISL_243513	A/Eurasian_teal/Netherlands/1/2011	H3N8	15/10/2011	2011	Netherlands	anseriformes	red2
blasthit|EPI_ISL_243608|A/mallard_duck/Netherlands/15/2011|A_/_H6N8|2011-09-14	seg8	blasthit	EPI_ISL_243608	A/mallard_duck/Netherlands/15/2011	H6N8	14/09/2011	2011	Netherlands	anseriformes	red2
blasthit|EPI_ISL_267256|A/mallard_duck/Netherlands/18/2014|A_/_H1N1|2014-08-27	seg8	blasthit	EPI_ISL_267256	A/mallard_duck/Netherlands/18/2014	H1N1	27/08/2014	2014	Netherlands	anseriformes	red2
blasthit|EPI_ISL_267352|A/mallard_duck/Netherlands/9/2014|A_/_H6N2|2014-10-28	seg8	blasthit	EPI_ISL_267352	A/mallard_duck/Netherlands/9/2014	H6N2	28/10/2014	2014	Netherlands	anseriformes	red2
blasthit|EPI_ISL_243659|A/mallard_duck/Netherlands/10/2012|A_/_H6N1|2012-09-05	seg8	blasthit	EPI_ISL_243659	A/mallard_duck/Netherlands/10/2012	H6N1	05/09/2012	2012	Netherlands	anseriformes	red2
blasthit|EPI_ISL_158233|A/mallard/Sweden/50108/2006|A_/_H4N6|2006-08-12	seg8	blasthit	EPI_ISL_158233	A/mallard/Sweden/50108/2006	H4N6	12/08/2006	2006	Sweden	anseriformes	red2
blasthit|EPI_ISL_267292|A/white-fronted_goose/Netherlands/5/2011|A_/_H6N8|2011-12-14	seg8	blasthit	EPI_ISL_267292	A/white-fronted_goose/Netherlands/5/2011	H6N8	14/12/2011	2011	Netherlands	anseriformes	red2
blasthit|EPI_ISL_267289|A/white-fronted_goose/Netherlands/3/2010|A_/_H5N2|2010-01-29	seg8	blasthit	EPI_ISL_267289	A/white-fronted_goose/Netherlands/3/2010	H5N2	29/01/2010	2010	Netherlands	anseriformes	red2
blasthit|EPI_ISL_243542|A/greater_white-fronted_goose/Netherlands/2/2010|A_/_H5N2|2010-01-29	seg8	blasthit	EPI_ISL_243542	A/greater_white-fronted_goose/Netherlands/2/2010	H5N2	29/01/2010	2010	Netherlands	anseriformes	red2
blasthit|EPI_ISL_243607|A/mallard_duck/Netherlands/24/2013|A_/_H4N6|2013-09-16	seg8	blasthit	EPI_ISL_243607	A/mallard_duck/Netherlands/24/2013	H4N6	16/09/2013	2013	Netherlands	anseriformes	red2
blasthit|EPI_ISL_243588|A/mallard_duck/Netherlands/20/2011|A_/_H6N8|2011-09-24	seg8	blasthit	EPI_ISL_243588	A/mallard_duck/Netherlands/20/2011	H6N8	24/09/2011	2011	Netherlands	anseriformes	red2
blasthit|EPI_ISL_116136|A/mallard/Czech_Republic/14333-1K/2011|A_/_H3N8|2011-09-16	seg8	blasthit	EPI_ISL_116136	A/mallard/Czech_Republic/14333-1K/2011	H3N8	16/09/2011	2011	Czech_Republic	anseriformes	red2
blasthit|EPI_ISL_328962|A/mallard_duck/Netherlands/35/2015|A_/_H4N6|2015-08-22	seg8	blasthit	EPI_ISL_328962	A/mallard_duck/Netherlands/35/2015	H4N6	22/08/2015	2015	Netherlands	anseriformes	red2
blasthit|EPI_ISL_250234|A/pintail/Chany/198/2016|A_/_H3N8|2016-09-10	seg8	blasthit	EPI_ISL_250234	A/pintail/Chany/198/2016	H3N8	10/09/2016	2016	Chany	anseriformes	red2
blasthit|EPI_ISL_243563|A/mallard_duck/Netherlands/3/2015|A_/_H7N7|2015-01-24	seg8	blasthit	EPI_ISL_243563	A/mallard_duck/Netherlands/3/2015	H7N7	24/01/2015	2015	Netherlands	anseriformes	red2
blasthit|EPI_ISL_243612|A/mallard_duck/Netherlands/2/2015|A_/_H7N7|2015-01-16	seg8	blasthit	EPI_ISL_243612	A/mallard_duck/Netherlands/2/2015	H7N7	16/01/2015	2015	Netherlands	anseriformes	red2
blasthit|EPI_ISL_243479|A/greater_white-fronted_goose/Netherlands/6/2011|A_/_H6N8|2011-12-14	seg8	blasthit	EPI_ISL_243479	A/greater_white-fronted_goose/Netherlands/6/2011	H6N8	14/12/2011	2011	Netherlands	anseriformes	red2
blasthit|EPI_ISL_149867|A/eurasian_wigeon/Mongolia/340V/2009|A_/_H4N6|2009-08-14	seg8	blasthit	EPI_ISL_149867	A/eurasian_wigeon/Mongolia/340V/2009	H4N6	14/08/2009	2009	Mongolia	anseriformes	red2
blasthit|EPI_ISL_125858|A/white-fronted_goose/Mongolia/1-125/2008|A_/_H3N8|2008-05-XX	seg8	blasthit	EPI_ISL_125858	A/white-fronted_goose/Mongolia/1-125/2008	H3N8	2008-05-XX	2008	Mongolia	anseriformes	red2
blasthit|EPI_ISL_87299|A/shoveler/Koymor/118/2009|A_/_H3|2009-09-02	seg8	blasthit	EPI_ISL_87299	A/shoveler/Koymor/118/2009	H3	02/09/2009	2009	Koymor	anseriformes	red2
blasthit|EPI_ISL_333614|A/common_teal/Chany/893/2018|A_/_H3N6|2018-09-01	seg8	blasthit	EPI_ISL_333614	A/common_teal/Chany/893/2018	H3N6	01/09/2018	2018	Chany	anseriformes	red2
blasthit|EPI_ISL_333613|A/common_teal/Chany/892/2018|A_/_H3N6|2018-09-01	seg8	blasthit	EPI_ISL_333613	A/common_teal/Chany/892/2018	H3N6	01/09/2018	2018	Chany	anseriformes	red2
blasthit|EPI_ISL_333612|A/common_teal/Chany/891/2018|A_/_H3N6|2018-09-01	seg8	blasthit	EPI_ISL_333612	A/common_teal/Chany/891/2018	H3N6	01/09/2018	2018	Chany	anseriformes	red2
blasthit|EPI_ISL_333611|A/common_teal/Chany/889/2018|A_/_H3N6|2018-09-01	seg8	blasthit	EPI_ISL_333611	A/common_teal/Chany/889/2018	H3N6	01/09/2018	2018	Chany	anseriformes	red2
blasthit|EPI_ISL_297466|A/chicken/Kostroma/1721/2017|A_/_H5N2|2017-12-22	seg8	blasthit	EPI_ISL_297466	A/chicken/Kostroma/1721/2017	H5N2	22/12/2017	2017	Kostroma	galliformes	red3
blasthit|EPI_ISL_297465|A/chicken/Kostroma/1720/2017|A_/_H5N2|2017-12-22	seg8	blasthit	EPI_ISL_297465	A/chicken/Kostroma/1720/2017	H5N2	22/12/2017	2017	Kostroma	galliformes	red3
blasthit|EPI_ISL_297464|A/chicken/Kostroma/1719/2017|A_/_H5N2|2017-12-22	seg8	blasthit	EPI_ISL_297464	A/chicken/Kostroma/1719/2017	H5N2	22/12/2017	2017	Kostroma	galliformes	red3
blasthit|EPI_ISL_297463|A/chicken/Kostroma/1717/2017|A_/_H5N2|2017-12-22	seg8	blasthit	EPI_ISL_297463	A/chicken/Kostroma/1717/2017	H5N2	22/12/2017	2017	Kostroma	galliformes	red3
blasthit|EPI_ISL_250233|A/mallard/Chany/185/2016|A_/_H3N8|2016-09-10	seg8	blasthit	EPI_ISL_250233	A/mallard/Chany/185/2016	H3N8	10/09/2016	2016	Chany	anseriformes	red2
blasthit|EPI_ISL_250232|A/teal/Chany/135/2016|A_/_H3N8|2016-09-10	seg8	blasthit	EPI_ISL_250232	A/teal/Chany/135/2016	H3N8	10/09/2016	2016	Chany	anseriformes	red2
seal|A/grey_seal/England/027661/2017|H3N8|PB2|2017-02	seg1	seal	noid	A/grey_seal/England/027661/2017	H3N8	2017-02	2017	England	seal	blue2
blasthit|EPI_ISL_267292|A/white-fronted_goose/Netherlands/5/2011|A_/_H6N8|2011-12-14	seg1	blasthit	EPI_ISL_267292	A/white-fronted_goose/Netherlands/5/2011	H6N8	14/12/2011	2011	Netherlands	anseriformes	red2
blasthit|EPI_ISL_243479|A/greater_white-fronted_goose/Netherlands/6/2011|A_/_H6N8|2011-12-14	seg1	blasthit	EPI_ISL_243479	A/greater_white-fronted_goose/Netherlands/6/2011	H6N8	14/12/2011	2011	Netherlands	anseriformes	red2
blasthit|EPI_ISL_243608|A/mallard_duck/Netherlands/15/2011|A_/_H6N8|2011-09-14	seg1	blasthit	EPI_ISL_243608	A/mallard_duck/Netherlands/15/2011	H6N8	14/09/2011	2011	Netherlands	anseriformes	red2
blasthit|EPI_ISL_243588|A/mallard_duck/Netherlands/20/2011|A_/_H6N8|2011-09-24	seg1	blasthit	EPI_ISL_243588	A/mallard_duck/Netherlands/20/2011	H6N8	24/09/2011	2011	Netherlands	anseriformes	red2
blasthit|EPI_ISL_243513|A/Eurasian_teal/Netherlands/1/2011|A_/_H3N8|2011-10-15	seg1	blasthit	EPI_ISL_243513	A/Eurasian_teal/Netherlands/1/2011	H3N8	15/10/2011	2011	Netherlands	anseriformes	red2
blasthit|EPI_ISL_267376|A/mallard_duck/Netherlands/18/2012|A_/_H4N2|2012-08-21	seg1	blasthit	EPI_ISL_267376	A/mallard_duck/Netherlands/18/2012	H4N2	21/08/2012	2012	Netherlands	anseriformes	red2
blasthit|EPI_ISL_267224|A/mallard_duck/Netherlands/16/2012|A_/_H3N2|2012-08-17	seg1	blasthit	EPI_ISL_267224	A/mallard_duck/Netherlands/16/2012	H3N2	17/08/2012	2012	Netherlands	anseriformes	red2
blasthit|EPI_ISL_224581|A/chicken/Netherlands/16007311-037041/2016|A_/_H7N9|2016-06-08	seg1	blasthit	EPI_ISL_224581	A/chicken/Netherlands/16007311-037041/2016	H7N9	08/06/2016	2016	Netherlands	galliformes	red3
blasthit|EPI_ISL_171318|A/Italy/3/2013|A_/_H7N7|2013-09-07	seg1	blasthit	EPI_ISL_171318	A/Italy/3/2013	H7N7	07/09/2013	2013	Italy	human	blue1
blasthit|EPI_ISL_243461|A/mallard_duck/Netherlands/23/2012|A_/_H11N9|2012-09-27	seg1	blasthit	EPI_ISL_243461	A/mallard_duck/Netherlands/23/2012	H11N9	27/09/2012	2012	Netherlands	anseriformes	red2
blasthit|EPI_ISL_202992|A/chicken/Italy/13VIR4527-12/2013|A_/_H7N7|2013-08-13	seg1	blasthit	EPI_ISL_202992	A/chicken/Italy/13VIR4527-12/2013	H7N7	13/08/2013	2013	Italy	galliformes	red3
blasthit|EPI_ISL_202997|A/chicken/Italy/13VIR4541-7/2013|A_/_H7N7|2013-08-13	seg1	blasthit	EPI_ISL_202997	A/chicken/Italy/13VIR4541-7/2013	H7N7	13/08/2013	2013	Italy	galliformes	red3
blasthit|EPI_ISL_202994|A/chicken/Italy/13VIR4541-32/2013|A_/_H7N7|2013-08-13	seg1	blasthit	EPI_ISL_202994	A/chicken/Italy/13VIR4541-32/2013	H7N7	13/08/2013	2013	Italy	galliformes	red3
blasthit|EPI_ISL_202993|A/chicken/Italy/13VIR4527-11/2013|A_/_H7N7|2013-08-13	seg1	blasthit	EPI_ISL_202993	A/chicken/Italy/13VIR4527-11/2013	H7N7	13/08/2013	2013	Italy	galliformes	red3
blasthit|EPI_ISL_203003|A/chicken/Italy/13VIR5051-3/2013|A_/_H7N7|2013-09-03	seg1	blasthit	EPI_ISL_203003	A/chicken/Italy/13VIR5051-3/2013	H7N7	03/09/2013	2013	Italy	galliformes	red3
blasthit|EPI_ISL_203001|A/chicken/Italy/13VIR4774/2013|A_/_H7N7|2013-08-27	seg1	blasthit	EPI_ISL_203001	A/chicken/Italy/13VIR4774/2013	H7N7	27/08/2013	2013	Italy	galliformes	red3
blasthit|EPI_ISL_203000|A/chicken/Italy/13VIR4603-1/2013|A_/_H7N7|2013-08-19	seg1	blasthit	EPI_ISL_203000	A/chicken/Italy/13VIR4603-1/2013	H7N7	19/08/2013	2013	Italy	galliformes	red3
blasthit|EPI_ISL_202998|A/chicken/Italy/13VIR4541-8/2013|A_/_H7N7|2013-08-13	seg1	blasthit	EPI_ISL_202998	A/chicken/Italy/13VIR4541-8/2013	H7N7	13/08/2013	2013	Italy	galliformes	red3
blasthit|EPI_ISL_329647|A/chicken/France/160013g/2016|A_/_H5N2|2016-01-01	seg1	blasthit	EPI_ISL_329647	A/chicken/France/160013g/2016	H5N2	01/01/2016	2016	France	galliformes	red3
blasthit|EPI_ISL_202995|A/chicken/Italy/13VIR4541-33/2013|A_/_H7N7|2013-08-13	seg1	blasthit	EPI_ISL_202995	A/chicken/Italy/13VIR4541-33/2013	H7N7	13/08/2013	2013	Italy	galliformes	red3
blasthit|EPI_ISL_203002|A/chicken/Italy/13VIR5051-1/2013|A_/_H7N7|2013-09-03	seg1	blasthit	EPI_ISL_203002	A/chicken/Italy/13VIR5051-1/2013	H7N7	03/09/2013	2013	Italy	galliformes	red3
blasthit|EPI_ISL_294779|A/duck/France/160051/2016|A_/_H6N2|2016-01-21	seg1	blasthit	EPI_ISL_294779	A/duck/France/160051/2016	H6N2	21/01/2016	2016	France	anseriformes	red2
blasthit|EPI_ISL_293992|A/chicken/France/160001/2016|A_/_H5N2|2016-02-01	seg1	blasthit	EPI_ISL_293992	A/chicken/France/160001/2016	H5N2	01/02/2016	2016	France	galliformes	red3
blasthit|EPI_ISL_267417|A/mallard_duck/Netherlands/10/2013|A_/_H4N6|2013-12-04	seg1	blasthit	EPI_ISL_267417	A/mallard_duck/Netherlands/10/2013	H4N6	04/12/2013	2013	Netherlands	anseriformes	red2
blasthit|EPI_ISL_203004|A/chicken/Italy/13VIR5091/2013|A_/_H7N7|2013-09-02	seg1	blasthit	EPI_ISL_203004	A/chicken/Italy/13VIR5091/2013	H7N7	02/09/2013	2013	Italy	galliformes	red3
blasthit|EPI_ISL_202999|A/chicken/Italy/13VIR4541-9/2013|A_/_H7N7|2013-08-13	seg1	blasthit	EPI_ISL_202999	A/chicken/Italy/13VIR4541-9/2013	H7N7	13/08/2013	2013	Italy	galliformes	red3
blasthit|EPI_ISL_202996|A/chicken/Italy/13VIR4541-34/2013|A_/_H7N7|2013-08-13	seg1	blasthit	EPI_ISL_202996	A/chicken/Italy/13VIR4541-34/2013	H7N7	13/08/2013	2013	Italy	galliformes	red3
blasthit|EPI_ISL_203005|A/turkey/Italy/13VIR4678-1/2013|A_/_H7N7|2013-08-21	seg1	blasthit	EPI_ISL_203005	A/turkey/Italy/13VIR4678-1/2013	H7N7	21/08/2013	2013	Italy	galliformes	red3
blasthit|EPI_ISL_230631|A/turkey/Poland/14/2013|A_/_H9N2|2013-04-24	seg1	blasthit	EPI_ISL_230631	A/turkey/Poland/14/2013	H9N2	24/04/2013	2013	Poland	galliformes	red3
blasthit|EPI_ISL_294778|A/duck/France/160056/2016|A_/_H6N2|2015-12-09	seg1	blasthit	EPI_ISL_294778	A/duck/France/160056/2016	H6N2	09/12/2015	2015	France	anseriformes	red2
blasthit|EPI_ISL_293997|A/chicken/France/160013/2016|A_/_H5N2|2015-12-29	seg1	blasthit	EPI_ISL_293997	A/chicken/France/160013/2016	H5N2	29/12/2015	2015	France	galliformes	red3
blasthit|EPI_ISL_309813|A/Chicken/Netherlands/13015884/2013|A_/_H5N3|2013-11-29	seg1	blasthit	EPI_ISL_309813	A/Chicken/Netherlands/13015884/2013	H5N3	29/11/2013	2013	Netherlands	galliformes	red3
blasthit|EPI_ISL_213837|A/Anas_platyrhynchos/Belgium/17330cls42/2013|A_/_H5N2|2013-09-26	seg1	blasthit	EPI_ISL_213837	A/Anas_platyrhynchos/Belgium/17330cls42/2013	H5N2	26/09/2013	2013	Belgium	anseriformes	red2
blasthit|EPI_ISL_328971|A/mallard_duck/Georgia/7/2015|A_/_H6N1|2015-10-10	seg1	blasthit	EPI_ISL_328971	A/mallard_duck/Georgia/7/2015	H6N1	10/10/2015	2015	Georgia	anseriformes	red2
blasthit|EPI_ISL_224753|A/chicken/Netherlands/15007212/15|A_/_H10N7|2015-04-29	seg1	blasthit	EPI_ISL_224753	A/chicken/Netherlands/15007212/15	H10N7	29/04/2015	2015	Netherlands	galliformes	red3
blasthit|EPI_ISL_209380|A/shelduck/Yasnopolyanske/4-08-02/2011|A_/_H1N1|2011-02-08	seg1	blasthit	EPI_ISL_209380	A/shelduck/Yasnopolyanske/4-08-02/2011	H1N1	08/02/2011	2011	Yasnopolyanske	anseriformes	red2
blasthit|EPI_ISL_309814|A/Chicken/Netherlands/13016263-031-035/2013|A_/_H5N3|2013-12-10	seg1	blasthit	EPI_ISL_309814	A/Chicken/Netherlands/13016263-031-035/2013	H5N3	10/12/2013	2013	Netherlands	galliformes	red3
blasthit|EPI_ISL_267279|A/mallard_duck/Georgia/11/2011|A_/_H1N1|2011-01-22	seg1	blasthit	EPI_ISL_267279	A/mallard_duck/Georgia/11/2011	H1N1	22/01/2011	2011	Georgia	anseriformes	red2
blasthit|EPI_ISL_230633|A/turkey/Poland/09/2014|A_/_H9N2|2014-04-18	seg1	blasthit	EPI_ISL_230633	A/turkey/Poland/09/2014	H9N2	18/04/2014	2014	Poland	galliformes	red3
blasthit|EPI_ISL_243488|A/mallard_duck/Netherlands/32/2011|A_/_H5N2|2011-10-20	seg1	blasthit	EPI_ISL_243488	A/mallard_duck/Netherlands/32/2011	H5N2	20/10/2011	2011	Netherlands	anseriformes	red2
blasthit|EPI_ISL_328966|A/mallard_duck/Netherlands/41/2015|A_/_H5N1|2015-09-15	seg1	blasthit	EPI_ISL_328966	A/mallard_duck/Netherlands/41/2015	H5N1	15/09/2015	2015	Netherlands	anseriformes	red2
blasthit|EPI_ISL_230632|A/turkey/Poland/08/2014|A_/_H9N2|2014-04-17	seg1	blasthit	EPI_ISL_230632	A/turkey/Poland/08/2014	H9N2	17/04/2014	2014	Poland	galliformes	red3
blasthit|EPI_ISL_328955|A/mallard_duck/Netherlands/52/2015|A_/_H5N6|2015-09-16	seg1	blasthit	EPI_ISL_328955	A/mallard_duck/Netherlands/52/2015	H5N6	16/09/2015	2015	Netherlands	anseriformes	red2
blasthit|EPI_ISL_189692|A/mallard/Republic_of_Georgia/12/2011|A_/_H10N4|2011-02-11	seg1	blasthit	EPI_ISL_189692	A/mallard/Republic_of_Georgia/12/2011	H10N4	11/02/2011	2011	Republic_of_Georgia	anseriformes	red2
blasthit|EPI_ISL_205833|A/chicken/Scotland/532/2016|A_/_H5N1|2016-01-09	seg1	blasthit	EPI_ISL_205833	A/chicken/Scotland/532/2016	H5N1	09/01/2016	2016	Scotland	galliformes	red3
blasthit|EPI_ISL_294761|A/duck/France/150213/2015|A_/_H5N2|2015-12-01	seg1	blasthit	EPI_ISL_294761	A/duck/France/150213/2015	H5N2	01/12/2015	2015	France	anseriformes	red2
blasthit|EPI_ISL_243663|A/mallard_duck/Netherlands/30/2014|A_/_H4N6|2014-07-21	seg1	blasthit	EPI_ISL_243663	A/mallard_duck/Netherlands/30/2014	H4N6	21/07/2014	2014	Netherlands	anseriformes	red2
blasthit|EPI_ISL_267256|A/mallard_duck/Netherlands/18/2014|A_/_H1N1|2014-08-27	seg1	blasthit	EPI_ISL_267256	A/mallard_duck/Netherlands/18/2014	H1N1	27/08/2014	2014	Netherlands	anseriformes	red2
blasthit|EPI_ISL_234918|A/chicken/France/150169a/2015|A_/_H5N1|2015-11-19	seg1	blasthit	EPI_ISL_234918	A/chicken/France/150169a/2015	H5N1	19/11/2015	2015	France	galliformes	red3
blasthit|EPI_ISL_189686|A/common_Teal/Republic_of_Georgia/1/2011|A_/_H3N8|2011-09-19	seg1	blasthit	EPI_ISL_189686	A/common_Teal/Republic_of_Georgia/1/2011	H3N8	19/09/2011	2011	Republic_of_Georgia	anseriformes	red2
seal|A/grey_seal/England/027661/2017|H3N8|PB1|2017-02	seg2	seal	noid	A/grey_seal/England/027661/2017	H3N8	2017-02	2017	England	seal	blue2
blasthit|EPI_ISL_328955|A/mallard_duck/Netherlands/52/2015|A_/_H5N6|2015-09-16	seg2	blasthit	EPI_ISL_328955	A/mallard_duck/Netherlands/52/2015	H5N6	16/09/2015	2015	Netherlands	anseriformes	red2
blasthit|EPI_ISL_328966|A/mallard_duck/Netherlands/41/2015|A_/_H5N1|2015-09-15	seg2	blasthit	EPI_ISL_328966	A/mallard_duck/Netherlands/41/2015	H5N1	15/09/2015	2015	Netherlands	anseriformes	red2
blasthit|EPI_ISL_243479|A/greater_white-fronted_goose/Netherlands/6/2011|A_/_H6N8|2011-12-14	seg2	blasthit	EPI_ISL_243479	A/greater_white-fronted_goose/Netherlands/6/2011	H6N8	14/12/2011	2011	Netherlands	anseriformes	red2
blasthit|EPI_ISL_267292|A/white-fronted_goose/Netherlands/5/2011|A_/_H6N8|2011-12-14	seg2	blasthit	EPI_ISL_267292	A/white-fronted_goose/Netherlands/5/2011	H6N8	14/12/2011	2011	Netherlands	anseriformes	red2
blasthit|EPI_ISL_243588|A/mallard_duck/Netherlands/20/2011|A_/_H6N8|2011-09-24	seg2	blasthit	EPI_ISL_243588	A/mallard_duck/Netherlands/20/2011	H6N8	24/09/2011	2011	Netherlands	anseriformes	red2
blasthit|EPI_ISL_243513|A/Eurasian_teal/Netherlands/1/2011|A_/_H3N8|2011-10-15	seg2	blasthit	EPI_ISL_243513	A/Eurasian_teal/Netherlands/1/2011	H3N8	15/10/2011	2011	Netherlands	anseriformes	red2
